Vera.ttf: "Bitstream Vera Sans" "Roman"
DejaVuSans.ttf: "DejaVu Sans" "Book"
DejaVuSans-Bold.ttf: "DejaVu Sans" "Bold"
DejaVuSans-Oblique.ttf: "DejaVu Sans" "Oblique"
DejaVuSans-BoldOblique.ttf: "DejaVu Sans" "Bold Oblique"
verdana.ttf: "Verdana" "Normal"
arial.ttf: "Arial" "Normal"
luxisr.ttf: "Luxi Sans" "Regular"
l048013t.pfa: "Luxi Sans" "Regular"
helvR12-ISO8859-1.pcf.gz: "Helvetica" "Regular"
simsun.ttf: "SimSun" "Regular"
wqy-zenhei.ttf: "文泉驛正黑" "中等"
GohaTibebZemen.otf: "Goha-Tibeb Zemen" "Regular"
YaHei.Consolas.ttf: "YaHei Consolas Hybrid" "Normal"
cour.ttf: "Courier New" "Normal"
DejaVuSansMono.ttf: "DejaVu Sans Mono" "Book"
DejaVuSerif.ttf: "DejaVu Serif" "Book"
ariblk.ttf: "Arial Black" "Normal"
SyrCOMMardin.otf: "Serto Mardin" "Regular"
SyrCOMMalankara.otf: "Serto Malankara" "Regular"
seguibk.ttf: "Segoe UI" "Regular"
cour.pfa: "Courier" "Regular"
tahomabd.ttf: "Tahoma" "Negreta"
DejaVuSerif-Bold.ttf: "DejaVu Serif" "Bold"
DejaVuSansMono-Bold.ttf: "DejaVu Sans Mono" "Bold"
DejaVuSerif-Italic.ttf: "DejaVu Serif" "Italic"
DejaVuSerif-BoldItalic.ttf: "DejaVu Serif" "Bold Italic"
12x13ja.pcf.gz: "Fixed" "ja"
6x12-ISO8859-1.pcf.gz: "Fixed" "SemiCondensed"
6x12.pcf.gz: "Fixed" "SemiCondensed"
6x13.pcf.gz: "Fixed" "SemiCondensed"
wenquanyi_9pt.pcf: "WenQuanYi Bitmap Song" "Regular"
wenquanyi_10pt.pcf: "WenQuanYi Bitmap Song" "Regular"
term14.pcf.gz: "Terminal" "Regular"
9x15.pcf.gz: "Fixed" "Regular"
wenquanyi_11pt.pcf: "WenQuanYi Bitmap Song" "Regular"
wenquanyi_12pt.pcf: "WenQuanYi Bitmap Song" "Regular"
cu12.pcf.gz: "ClearlyU" "Regular"
cu-pua12.pcf.gz: "ClearlyU PUA" "Regular"
cu-alt12.pcf.gz: "ClearlyU Alternate Glyphs" "Regular"
10x20.pcf.gz: "Fixed" "Regular"
